day,CH_bioenergy_capacity,CH_solar_capacity,CH_wind_onshore_capacity,DE_bioenergy_capacity,DE_geothermal_capacity,DE_solar_capacity,DE_wind_capacity,DE_wind_offshore_capacity,DE_wind_onshore_capacity,DK_solar_capacity,DK_wind_capacity,DK_wind_offshore_capacity,DK_wind_onshore_capacity,FR_bioenergy_capacity,FR_geothermal_capacity,FR_hydro_capacity,FR_marine_capacity,FR_solar_capacity,FR_wind_onshore_capacity,GB-GBN_bioenergy_capacity,GB-GBN_hydro_capacity,GB-GBN_marine_capacity,GB-GBN_solar_capacity,GB-GBN_wind_capacity,GB-GBN_wind_offshore_capacity,GB-GBN_wind_onshore_capacity,GB-NIR_bioenergy_capacity,GB-NIR_solar_capacity,GB-NIR_wind_onshore_capacity,GB-UKM_bioenergy_capacity,GB-UKM_hydro_capacity,GB-UKM_marine_capacity,GB-UKM_solar_capacity,GB-UKM_wind_capacity,GB-UKM_wind_offshore_capacity,GB-UKM_wind_onshore_capacity,SE_wind_capacity,SE_wind_offshore_capacity,SE_wind_onshore_capacity
1957-01-02,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-03,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-04,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-05,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-06,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-07,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-08,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-09,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-10,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-11,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-12,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-13,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-14,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-15,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-16,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-17,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-18,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-19,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-20,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-21,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-22,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-23,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-24,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-25,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-26,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-27,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-28,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-29,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-30,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-01-31,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-01,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-02,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-03,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-04,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-05,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-06,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-07,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-08,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-09,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-10,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-11,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-12,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-13,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-14,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-15,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-16,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-17,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-18,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-19,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-20,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-21,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-22,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-23,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-24,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-25,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-26,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-27,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-02-28,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-01,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-02,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-03,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-04,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-05,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-06,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-07,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-08,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-09,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-10,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-11,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-12,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-13,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-14,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-15,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-16,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-17,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-18,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-19,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-20,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-21,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-22,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-23,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1957-03-24,0.000,0.000,0.000,1.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,161.788,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
